id,lat,lon,zip
499,40.76915505,-73.98191841,10023
3418,40.6750207,-73.97111473,11238
297,40.734232,-73.986923,10003
405,40.739323,-74.008119,10014
279,40.707873,-74.00167,10038
245,40.69327018,-73.97703874,11205
470,40.74345335,-74.00004031,10011
3312,40.7817212,-73.94594,10128
387,40.71273266,-74.0046073,10007
496,40.73726186,-73.99238967,10003
2004,40.724399,-74.004704,10013
390,40.69221589,-73.9842844,11201
3164,40.7770575,-73.97898475,10023
79,40.71911552,-74.00666661,10013
301,40.72217444,-73.98368779,10009
490,40.751551,-73.993934,10001
509,40.7454973,-74.00197139,10011
511,40.72938685,-73.97772429,10009
539,40.71534825,-73.96024116,11249
3345,40.78948541553215,-73.95242929458618,10029
526,40.74765947,-73.98490707,10016
161,40.72917025,-73.99810231,10012
3100,40.724812564400175,-73.94752621650696,11222
212,40.74334935,-74.00681753,10011
3416,40.6776147,-73.97324283,11217
3263,40.72923649910006,-73.99086803197861,10003
127,40.73172428,-74.00674436,10014
2008,40.70569254,-74.01677685,10004
224,40.71146364,-74.00552427,10038
268,40.71910537,-73.99973337,10013
497,40.73704984,-73.99009296,10003
467,40.68312489,-73.97895137,11217
438,40.72779126,-73.98564945,10003
322,40.696192,-73.991218,11201
417,40.71291224,-74.01020234,10007
447,40.76370739,-73.9851615,10019
504,40.73221853,-73.98165557,10009
379,40.749156,-73.9916,10001
307,40.71427487,-73.98990025,
500,40.76228826,-73.98336183,10019
395,40.68807003,-73.98410637,11201
3087,40.71413311,-73.95234386,
382,40.73492695,-73.99200509,10003
2000,40.70255088,-73.98940236,11201
545,40.736502,-73.97809472,10010
461,40.73587678,-73.98205027,10003
217,40.70277159,-73.99383605,11201
324,40.689888,-73.981013,11201
173,40.76068327096592,-73.9845272898674,10019
3265,40.7245634290432,-73.9894437789917,10003
347,40.728846,-74.008591,10014
323,40.69236178,-73.98631746,11201
3103,40.72153267,-73.95782357,11249
3399,40.67260298150126,-73.98983001708984,11215
453,40.74475148,-73.99915362,10011
423,40.76584941,-73.98690506,10019
254,40.73532427,-73.99800419,10011
252,40.73226398,-73.99852205,10011
3260,40.72706363348306,-73.99662137031554,10012
345,40.73649403,-73.99704374,10011
337,40.7037992,-74.00838676,10005
128,40.72710258,-74.00297088,10012
475,40.73524276,-73.98758561,10003
335,40.72903917,-73.99404649,10003
151,40.722103786686034,-73.99724900722504,10012
3105,40.724055,-73.955736,11249
3255,40.7505853470215,-73.9946848154068,10001
522,40.75714758,-73.97207836,10022
3288,40.778301,-73.9488134,10128
433,40.72955361,-73.98057249,10009
3053,40.6900815,-73.947915,11216
251,40.72317958,-73.99480012,10012
352,40.76340613,-73.97722479,10019
442,40.746647,-73.993915,10001
83,40.68382604,-73.97632328,11217
471,40.71286844,-73.95698119,11211
349,40.71850211,-73.98329859,10002
3344,40.679043,-74.011169,11231
476,40.74394314,-73.97966069,10016
2021,40.75929124,-73.98859651,10036
474,40.7451677,-73.98683077,10016
409,40.6906495,-73.95643107,11205
236,40.7284186,-73.98713956,10003
466,40.74395411,-73.99144871,10010
3096,40.71924,-73.95242,11211
380,40.73401143,-74.00293877,10014
3401,40.6724811,-73.99331394,11215
377,40.72243797,-74.00566443,
